Yesterday,The Ultimate Pop Rock Fake Book,327,1

You're the One That I Want,The Ultimate Pop Rock Fake Book,327,1

Yes I'm Ready,The Ultimate Pop Rock Fake Book,328,1

You Baby,The Ultimate Pop Rock Fake Book,328,1

You Don't Own Me,The Ultimate Pop Rock Fake Book,329,1

White Room,The Ultimate Pop Rock Fake Book,330,1

Whiter Shade of Pale,The Ultimate Pop Rock Fake Book,330,1

Young Blood,The Ultimate Pop Rock Fake Book,331,1

You Give Good Love,The Ultimate Pop Rock Fake Book,332,1

You Should be Dancing,The Ultimate Pop Rock Fake Book,332,1

You're the Devil in Disguise,The Ultimate Pop Rock Fake Book,333,1

Your Song,The Ultimate Pop Rock Fake Book,334,1
